,purpose,tfn_at,hh_type,mode,period,split,trips,total_trips,split_method,mode_period
0,1,1,1,1,1,0.15631643859827252,584.7202398724135,3740.6189976930254,observed,1_1
1,1,1,1,1,2,0.01946670602148994,72.81753036649047,3740.6189976930254,observed,1_2
2,1,1,1,1,3,0.003976277057279533,14.87373750055074,3740.6189976930254,observed,1_3
3,1,1,1,1,4,0.017804090759342694,66.59832013104813,3740.6189976930254,observed,1_4
4,1,1,1,1,5,0.009404818699805133,35.1798434983497,3740.6189976930254,observed,1_5
5,1,1,1,1,6,0.009848240952463155,36.83851720064213,3740.6189976930254,observed,1_6
6,1,1,1,2,1,0.05832237675687672,218.1617904873832,3740.6189976930254,observed,2_1
7,1,1,1,2,2,0.00921415533720113,34.46664450202913,3740.6189976930254,observed,2_2
8,1,1,1,2,3,0.0016876861638658084,6.312990926700107,3740.6189976930254,observed,2_3
9,1,1,1,2,4,0.007377514361741722,27.59647037728422,3740.6189976930254,observed,2_4
10,1,1,1,2,5,0.00358770758753531,13.420247160101994,3740.6189976930254,observed,2_5
11,1,1,1,2,6,0.0019480263927605399,7.286824532767491,3740.6189976930254,observed,2_6
12,1,1,1,3,1,0.03509506679191738,131.27727356715178,3740.6189976930254,observed,3_1
13,1,1,1,3,2,0.0024627011827915886,9.2120268299913,3740.6189976930254,observed,3_2
14,1,1,1,3,3,0.002012723512022533,7.528831806174914,3740.6189976930254,observed,3_3
15,1,1,1,3,4,0.0064281958317554,24.04543144915537,3740.6189976930254,observed,3_4
16,1,1,1,3,5,0.0010644761282203447,3.981799627811738,3740.6189976930254,observed,3_5
17,1,1,1,3,6,0.0015553695677738174,5.8180449536483305,3740.6189976930254,observed,3_6
18,1,1,1,4,1,0.0,0.0,3740.6189976930254,observed,4_1
19,1,1,1,4,2,0.0018974806442029124,7.097752145460214,3740.6189976930254,observed,4_2
20,1,1,1,4,3,0.0008244127512807587,3.083813999381181,3740.6189976930254,observed,4_3
21,1,1,1,4,4,0.0017706602268494208,6.623365283012386,3740.6189976930254,observed,4_4
22,1,1,1,4,5,0.0007531252463926992,2.8171546042987714,3740.6189976930254,observed,4_5
23,1,1,1,4,6,0.0,0.0,3740.6189976930254,observed,4_6
24,1,1,1,5,1,0.13560730542548038,507.2552629005124,3740.6189976930254,observed,5_1
25,1,1,1,5,2,0.02702035184740898,101.07284144476787,3740.6189976930254,observed,5_2
26,1,1,1,5,3,0.00925173568775973,34.60721827526859,3740.6189976930254,observed,5_3
27,1,1,1,5,4,0.036511630447144,136.57609848733392,3740.6189976930254,observed,5_4
28,1,1,1,5,5,0.015190510077847661,56.82191058184432,3740.6189976930254,observed,5_5
29,1,1,1,5,6,0.006628687464044462,24.79539425777432,3740.6189976930254,observed,5_6
30,1,1,1,6,1,0.08632786867355545,322.91966559065014,3740.6189976930254,observed,6_1
31,1,1,1,6,2,0.008920368739269725,33.367700772539315,3740.6189976930254,observed,6_2
32,1,1,1,6,3,0.0,0.0,3740.6189976930254,observed,6_3
33,1,1,1,6,4,0.013604574225280065,50.88952880260749,3740.6189976930254,observed,6_4
34,1,1,1,6,5,0.0029435021378302747,11.01052001651796,3740.6189976930254,observed,6_5
35,1,1,1,6,6,0.0022617554248446445,8.460365310309138,3740.6189976930254,observed,6_6
36,1,1,1,7,1,0.21112204200061482,789.7271211392447,3740.6189976930254,observed,7_1
37,1,1,1,7,2,0.026397920400840227,98.74456255097124,3740.6189976930254,observed,7_2
38,1,1,1,7,3,0.013928094570403395,52.09969515171602,3740.6189976930254,observed,7_3
39,1,1,1,7,4,0.03042643305194685,113.81369350614736,3740.6189976930254,observed,7_4
40,1,1,1,7,5,0.013894123726987936,51.9726231694685,3740.6189976930254,observed,7_5
41,1,1,1,7,6,0.007144845526900362,26.72614491350553,3740.6189976930254,observed,7_6
42,1,1,2,1,1,0.052510971438175014,86.60027826420205,1649.184463596581,observed,1_1
43,1,1,2,1,2,0.017228254187305857,28.41256914059756,1649.184463596581,observed,1_2
44,1,1,2,1,3,0.0,0.0,1649.184463596581,observed,1_3
45,1,1,2,1,4,0.006530913130987465,10.77068046872343,1649.184463596581,observed,1_4
46,1,1,2,1,5,0.001673197231206132,2.7594108782379694,1649.184463596581,observed,1_5
47,1,1,2,1,6,0.0,0.0,1649.184463596581,observed,1_6
48,1,1,2,2,1,0.04364204968799676,71.97379030495428,1649.184463596581,observed,2_1
49,1,1,2,2,2,0.006980022556582584,11.511344755869684,1649.184463596581,observed,2_2
50,1,1,2,2,3,0.0013296738507315138,2.192877456277052,1649.184463596581,observed,2_3
51,1,1,2,2,4,0.008713410703002801,14.370021556328384,1649.184463596581,observed,2_4
52,1,1,2,2,5,0.000661273728759401,1.0905623596545837,1649.184463596581,observed,2_5
53,1,1,2,2,6,0.0,0.0,1649.184463596581,observed,2_6
54,1,1,2,3,1,0.23961967568301215,395.1770463084751,1649.184463596581,observed,3_1
55,1,1,2,3,2,0.059917625402864154,98.8152169100034,1649.184463596581,observed,3_2
56,1,1,2,3,3,0.022099668182133096,36.4464294166136,1649.184463596581,observed,3_3
57,1,1,2,3,4,0.07017585800640054,115.73293474371552,1649.184463596581,observed,3_4
58,1,1,2,3,5,0.02339737398790697,38.58658566981496,1649.184463596581,observed,3_5
59,1,1,2,3,6,0.019716483100008286,32.51611760529822,1649.184463596581,observed,3_6
60,1,1,2,4,1,0.00949287356127651,15.655499592143968,1649.184463596581,observed,4_1
61,1,1,2,4,2,0.0,0.0,1649.184463596581,observed,4_2
62,1,1,2,4,3,0.0,0.0,1649.184463596581,observed,4_3
63,1,1,2,4,4,0.004708366383710187,7.764964688935259,1649.184463596581,observed,4_4
64,1,1,2,4,5,0.0008531584624550285,1.40701568126678,1649.184463596581,observed,4_5
65,1,1,2,4,6,0.000983589002373599,1.622119701279,1649.184463596581,observed,4_6
66,1,1,2,5,1,0.08248446111682689,136.0320917620072,1649.184463596581,observed,5_1
67,1,1,2,5,2,0.012896792332290527,21.26918954464505,1649.184463596581,observed,5_2
68,1,1,2,5,3,0.0017487666597687974,2.884038805746389,1649.184463596581,observed,5_3
69,1,1,2,5,4,0.012394296755677886,20.44048164666948,1649.184463596581,observed,5_4
70,1,1,2,5,5,0.001418977824229718,2.340156181907731,1649.184463596581,observed,5_5
71,1,1,2,5,6,0.0015283310515770913,2.520499825493164,1649.184463596581,observed,5_6
72,1,1,2,6,1,0.08138820927163731,134.22417025073148,1649.184463596581,observed,6_1
73,1,1,2,6,2,0.00799236204703103,13.180879315402542,1649.184463596581,observed,6_2
74,1,1,2,6,3,0.000840747987711879,1.38654851913452,1649.184463596581,observed,6_3
75,1,1,2,6,4,0.010918880558960863,18.00724817770501,1649.184463596581,observed,6_4
76,1,1,2,6,5,0.002481113952363422,4.091814582650463,1649.184463596581,observed,6_5
77,1,1,2,6,6,0.0018041879539161029,2.975438743006541,1649.184463596581,observed,6_6
78,1,1,2,7,1,0.11281647969260618,186.0551855467053,1649.184463596581,observed,7_1
79,1,1,2,7,2,0.018749874701097173,30.922002051432045,1649.184463596581,observed,7_2
80,1,1,2,7,3,0.005961218709142947,9.831149279219815,1649.184463596581,observed,7_3
81,1,1,2,7,4,0.04341539678099738,71.5999978521019,1649.184463596581,observed,7_4
82,1,1,2,7,5,0.008960242164840508,14.77709216831796,1649.184463596581,observed,7_5
83,1,1,2,7,6,0.001965222152436217,3.2410138413136407,1649.184463596581,observed,7_6
84,1,1,3,1,1,0.09519276742202391,721.0447676135946,7574.575118894723,observed,1_1
85,1,1,3,1,2,0.03131377342490577,237.1885290629981,7574.575118894723,observed,1_2
86,1,1,3,1,3,0.00728858405852685,55.2079274616902,7574.575118894723,observed,1_3
87,1,1,3,1,4,0.0079729818964091,60.39195029593844,7574.575118894723,observed,1_4
88,1,1,3,1,5,0.002204092885081061,16.69506712706789,7574.575118894723,observed,1_5
89,1,1,3,1,6,0.006314407817443798,47.828956344564126,7574.575118894723,observed,1_6
90,1,1,3,2,1,0.055955678582079456,423.84049074868943,7574.575118894723,observed,2_1
91,1,1,3,2,2,0.008777736125260375,66.48762165462061,7574.575118894723,observed,2_2
92,1,1,3,2,3,0.0016357902975657527,12.390416487670946,7574.575118894723,observed,2_3
93,1,1,3,2,4,0.012933695641535336,97.96724920173068,7574.575118894723,observed,2_4
94,1,1,3,2,5,0.00411185148857812,31.14552797797406,7574.575118894723,observed,2_5
95,1,1,3,2,6,0.0021686086858385203,16.42628939437144,7574.575118894723,observed,2_6
96,1,1,3,3,1,0.012888374602022854,97.623961583477,7574.575118894723,observed,3_1
97,1,1,3,3,2,0.0014390944665410607,10.900529140000993,7574.575118894723,observed,3_2
98,1,1,3,3,3,0.0010842531209353224,8.212756712420644,7574.575118894723,observed,3_3
99,1,1,3,3,4,0.008648120513516724,65.50583846688684,7574.575118894723,observed,3_4
100,1,1,3,3,5,0.0029990028897276732,22.71617267002461,7574.575118894723,observed,3_5
101,1,1,3,3,6,0.0006365642480816097,4.821703715096889,7574.575118894723,observed,3_6
102,1,1,3,4,1,0.000987000840409609,7.476112008094805,7574.575118894723,observed,4_1
103,1,1,3,4,2,0.0,0.0,7574.575118894723,observed,4_2
104,1,1,3,4,3,0.0,0.0,7574.575118894723,observed,4_3
105,1,1,3,4,4,0.0009025636818119372,6.836536407470714,7574.575118894723,observed,4_4
106,1,1,3,4,5,0.0,0.0,7574.575118894723,observed,4_5
107,1,1,3,4,6,0.0,0.0,7574.575118894723,observed,4_6
108,1,1,3,5,1,0.13606063953452574,1030.6015348791225,7574.575118894723,observed,5_1
109,1,1,3,5,2,0.024233862126948155,183.56120910150665,7574.575118894723,observed,5_2
